year,0,1,2,3,4,5,6,7,8,9,10,11,annual,baseline,trendline
1939,41.7,37.9,43.7,50.6,54.3,56.7,62.7,63.7,58.1,51.2,48.0,44.8,51.1166666667,50.2552341598,50.0649121619
1940,41.3,43.8,47.4,51.4,57.0,60.6,62.7,63.2,61.1,54.0,41.0,42.1,52.1333333333,50.2552341598,50.0768072867
1941,42.0,44.7,49.4,52.0,54.7,59.1,66.5,63.0,56.8,52.0,45.9,40.7,52.2333333333,50.2552341598,50.0887024116
1942,38.1,41.0,44.1,50.2,54.1,57.9,65.4,65.3,59.0,52.8,42.2,41.1,50.9333333333,50.2552341598,50.1005975365
1943,32.5,42.3,42.5,50.9,52.1,57.4,62.2,61.5,60.3,51.8,44.6,38.6,49.725,50.2552341598,50.1124926613
1944,39.7,40.5,42.6,49.0,53.8,58.4,63.3,62.0,60.5,54.5,44.4,37.6,50.525,50.2552341598,50.1243877862
1945,40.5,41.9,42.8,46.3,55.9,57.6,63.3,62.3,56.3,51.6,42.2,39.1,49.9833333333,50.2552341598,50.1362829111
1946,39.8,41.3,43.4,47.9,56.3,57.7,62.8,62.4,58.4,47.8,40.1,38.6,49.7083333333,50.2552341598,50.1481780359
1947,34.3,43.0,46.2,50.7,56.7,58.7,62.4,61.4,58.5,51.5,42.4,41.3,50.5916666667,50.2552341598,50.1600731608
1948,37.5,38.1,42.3,45.7,52.5,61.2,61.7,60.9,56.7,49.4,41.5,35.1,48.55,50.2552341598,50.1719682857
1949,29.1,36.4,44.3,49.3,55.9,57.5,60.8,61.8,59.5,47.4,48.6,38.0,49.05,50.2552341598,50.1838634106
1950,24.1,39.4,41.9,46.4,51.0,59.6,62.4,63.2,58.2,49.4,42.7,44.4,48.5583333333,50.2552341598,50.1957585354
1951,36.8,40.1,39.3,49.5,53.9,60.5,63.6,61.6,59.1,50.6,43.3,36.0,49.525,50.2552341598,50.2076536603
1952,35.5,40.5,42.3,48.5,53.8,56.1,62.8,62.9,59.7,53.5,40.8,40.9,49.775,50.2552341598,50.2195487852
1953,43.6,41.3,43.5,47.7,53.7,56.1,62.5,63.1,59.2,52.5,46.5,41.7,50.95,50.2552341598,50.23144391
1954,34.8,42.1,41.1,45.9,53.6,55.5,59.5,59.9,58.2,50.1,47.9,40.2,49.0666666667,50.2552341598,50.2433390349
1955,38.4,38.0,38.4,44.3,50.3,57.3,59.5,60.3,56.9,50.0,37.8,37.3,47.375,50.2552341598,50.2552341598
1956,37.5,35.0,40.7,49.2,56.4,56.6,64.0,62.6,57.6,49.2,41.6,39.7,49.175,50.2552341598,50.2671292846
1957,31.0,38.2,43.7,49.7,57.3,59.6,60.8,61.3,62.0,50.3,42.5,42.4,49.9,50.2552341598,50.2790244095
1958,42.3,46.7,43.8,49.0,59.1,63.5,68.4,65.3,58.8,52.5,42.1,43.5,52.9166666667,50.2552341598,50.2909195344
1959,39.0,40.0,43.5,48.8,52.8,59.1,64.2,61.0,56.6,50.8,42.2,39.4,49.7833333333,50.2552341598,50.3028146593
1960,37.2,40.8,43.0,49.1,52.3,58.2,64.6,61.4,57.1,52.0,42.8,38.7,49.7666666667,50.2552341598,50.3147097841
1961,42.1,44.0,45.1,47.4,53.8,61.5,65.1,65.8,56.8,49.1,40.6,39.0,50.8583333333,50.2552341598,50.326604909
1962,37.4,42.1,41.5,49.8,50.7,57.7,61.7,61.6,59.0,52.0,45.6,41.6,50.0583333333,50.2552341598,50.3385000339
1963,33.2,46.4,43.2,47.7,54.7,57.7,60.7,62.8,61.9,53.2,44.3,40.8,50.55,50.2552341598,50.3503951587
1964,40.5,40.5,42.9,45.9,51.5,57.1,61.5,60.7,56.5,51.4,40.9,35.2,48.7166666667,50.2552341598,50.3622902836
1965,38.2,41.2,43.6,48.9,51.1,58.5,64.2,63.7,56.2,53.8,47.1,38.9,50.45,50.2552341598,50.3741854085
1966,39.0,41.3,43.7,48.7,53.0,57.5,61.0,62.4,60.1,50.3,44.7,43.3,50.4166666667,50.2552341598,50.3860805334
