year,0,1,2,3,4,5,6,7,8,9,10,11,annual,baseline,trendline
1940,40.68,90.0,67.8,42.12,27.12,5.04,14.52,6.72,29.28,65.64,51.6,59.28,41.65,43.6641322314,43.2039618615
1941,52.44,23.76,19.08,26.16,48.48,17.4,3.24,28.68,49.2,38.76,63.0,89.04,38.27,43.6641322314,43.2346398862
1942,36.96,33.48,32.88,29.52,31.56,42.96,16.44,5.28,3.72,36.12,102.12,72.72,36.98,43.6641322314,43.2653179109
1943,34.92,35.04,52.68,39.72,24.96,19.68,9.96,17.64,6.72,64.08,22.44,39.84,30.64,43.6641322314,43.2959959355
1944,53.04,40.44,23.52,36.36,27.0,15.12,4.44,8.04,31.44,28.56,64.08,26.88,29.91,43.6641322314,43.3266739602
1945,62.4,65.64,65.64,42.6,33.48,6.84,3.48,8.16,48.24,55.92,93.24,69.12,46.23,43.6641322314,43.3573519848
1946,73.44,69.48,54.24,32.4,7.32,51.84,12.36,4.32,21.84,50.4,68.04,76.2,43.49,43.6641322314,43.3880300095
1947,70.8,48.6,39.96,35.28,8.04,39.12,12.24,7.56,19.68,93.84,62.52,78.24,42.99,43.6641322314,43.4187080341
1948,58.56,81.36,43.68,41.76,63.96,30.12,23.64,32.64,41.16,39.84,88.44,83.4,52.38,43.6641322314,43.4493860588
1949,15.84,91.68,40.32,23.52,15.36,13.32,14.52,9.72,22.44,46.8,87.84,95.52,39.74,43.6641322314,43.4800640835
1950,81.24,84.96,92.52,39.0,16.8,12.0,13.8,21.24,20.04,89.16,90.24,86.76,53.98,43.6641322314,43.5107421081
1951,92.16,91.68,51.72,9.96,25.92,4.56,2.88,10.68,28.92,73.08,63.36,63.12,43.17,43.6641322314,43.5414201328
1952,53.4,39.24,44.16,25.92,17.52,22.08,8.28,8.04,7.56,17.4,16.08,65.64,27.11,43.6641322314,43.5720981574
1953,150.12,42.0,44.52,33.36,31.44,30.36,8.28,17.4,30.72,58.32,86.76,90.12,51.95,43.6641322314,43.6027761821
1954,113.52,68.4,29.76,40.32,22.8,35.76,20.04,29.64,27.72,26.28,97.44,68.52,48.35,43.6641322314,43.6334542067
1955,39.84,55.32,44.28,48.72,29.76,26.64,30.12,1.92,18.36,80.88,105.84,111.96,49.47,43.6641322314,43.6641322314
1956,103.68,42.84,71.04,7.92,11.52,44.16,4.44,14.04,35.28,88.8,30.72,80.88,44.61,43.6641322314,43.6948102561
1957,39.84,66.36,76.2,32.52,18.84,22.32,16.56,15.84,11.04,46.56,43.44,79.44,39.08,43.6641322314,43.7254882807
1958,88.56,73.08,26.64,48.0,17.64,18.0,0.12,6.6,22.32,58.8,104.76,83.52,45.67,43.6641322314,43.7561663054
1959,104.4,48.36,56.16,45.12,31.2,27.12,8.4,12.96,54.12,47.4,90.72,77.28,50.27,43.6641322314,43.78684433
1960,69.24,54.48,51.72,44.76,48.84,13.2,0.12,34.08,16.8,56.04,104.52,43.08,44.74,43.6641322314,43.8175223547
1961,84.96,115.32,65.04,39.12,39.96,10.32,12.36,12.84,13.92,54.12,58.8,78.96,48.81,43.6641322314,43.8482003794
1962,42.36,28.44,48.12,36.96,30.48,16.92,8.64,34.08,31.56,48.0,109.92,60.36,41.32,43.6641322314,43.878878404
1963,27.6,59.16,41.64,42.84,16.68,25.32,22.8,17.52,18.12,61.56,101.64,72.72,42.3,43.6641322314,43.9095564287
1964,116.52,26.76,57.0,34.2,22.32,42.36,17.64,22.8,37.8,22.32,88.8,78.72,47.27,43.6641322314,43.9402344533
1965,96.48,68.76,9.96,42.72,24.12,6.12,8.52,30.6,11.04,39.72,65.28,79.08,40.2,43.6641322314,43.970912478
1966,73.32,37.56,63.36,27.36,25.68,21.48,26.76,6.6,26.04,49.32,74.04,107.16,44.89,43.6641322314,44.0015905026
1967,120.48,46.68,55.68,34.56,13.56,18.0,4.08,0.96,20.28,101.52,37.2,83.4,44.7,43.6641322314,44.0322685273
1968,86.16,63.96,65.88,31.56,26.52,36.12,11.52,48.84,33.96,61.56,72.72,101.76,53.38,43.6641322314,44.062946552
